DATE,M2V
1987-07-01,1.751
1987-10-01,1.776
1988-01-01,1.768
1988-04-01,1.774
1988-07-01,1.79
1988-10-01,1.813
1989-01-01,1.84
1989-04-01,1.861
1989-07-01,1.853
1989-10-01,1.834
1990-01-01,1.848
1990-04-01,1.859
1990-07-01,1.856
1990-10-01,1.839
1991-01-01,1.826
1991-04-01,1.833
1991-07-01,1.85
1991-10-01,1.861
1992-01-01,1.874
1992-04-01,1.905
1992-07-01,1.931
1992-10-01,1.951
1993-01-01,1.971
1993-04-01,1.985
1993-07-01,1.997
1993-10-01,2.023
1994-01-01,2.047
1994-04-01,2.08
1994-07-01,2.103
1994-10-01,2.139
1995-01-01,2.155
1995-04-01,2.151
1995-07-01,2.142
1995-10-01,2.147
1996-01-01,2.147
1996-04-01,2.165
1996-07-01,2.171
1996-10-01,2.176
1997-01-01,2.174
1997-04-01,2.19
1997-07-01,2.192
1997-10-01,2.184
1998-01-01,2.17
1998-04-01,2.155
1998-07-01,2.155
1998-10-01,2.14
1999-01-01,2.129
1999-04-01,2.124
1999-07-01,2.128
1999-10-01,2.146
2000-01-01,2.135
2000-04-01,2.151
2000-07-01,2.141
2000-10-01,2.133
2001-01-01,2.085
2001-04-01,2.059
2001-07-01,2.014
2001-10-01,1.98
2002-01-01,1.969
2002-04-01,1.972
2002-07-01,1.953
2002-10-01,1.927
2003-01-01,1.915
2003-04-01,1.901
2003-07-01,1.905
2003-10-01,1.94
2004-01-01,1.95
2004-04-01,1.94
2004-07-01,1.949
2004-10-01,1.958
2005-01-01,1.985
2005-04-01,1.995
2005-07-01,2.0
2005-10-01,2.001
2006-01-01,2.016
2006-04-01,2.017
2006-07-01,2.006
2006-10-01,1.997
2007-01-01,1.993
2007-04-01,1.986
2007-07-01,1.977
2007-10-01,1.977
2008-01-01,1.939
2008-04-01,1.927
2008-07-01,1.908
2008-10-01,1.813
2009-01-01,1.735
2009-04-01,1.709
2009-07-01,1.711
2009-10-01,1.726
2010-01-01,1.739
2010-04-01,1.746
2010-07-01,1.748
2010-10-01,1.745
2011-01-01,1.728
2011-04-01,1.714
2011-07-01,1.656
2011-10-01,1.648
2012-01-01,1.642
2012-04-01,1.631
2012-07-01,1.612
2012-10-01,1.586
2013-01-01,1.583
2013-04-01,1.574
2013-07-01,1.573
2013-10-01,1.565
2014-01-01,1.542
2014-04-01,1.548
2014-07-01,1.553
2014-10-01,1.542
2015-01-01,1.526
2015-04-01,1.528
2015-07-01,1.52
2015-10-01,1.502
2016-01-01,1.476
2016-04-01,1.466
2016-07-01,1.457
2016-10-01,1.45
2017-01-01,1.444
2017-04-01,1.437
2017-07-01,1.441
2017-10-01,1.451
2018-01-01,1.461
2018-04-01,1.465
2018-07-01,1.467
2018-10-01,1.465
2019-01-01,1.458
2019-04-01,1.46
2019-07-01,1.454
2019-10-01,1.438
2020-01-01,1.391
2020-04-01,1.128
2020-07-01,1.176
2020-10-01,1.163
2021-01-01,1.153
2021-04-01,1.145
2021-07-01,1.144
2021-10-01,1.156
2022-01-01,1.158
2022-04-01,1.179
2022-07-01,1.202
2022-10-01,1.234
2023-01-01,1.273
2023-04-01,1.302
2023-07-01,1.326
2023-10-01,1.344
