DATE,EXPGS
1987-07-01,371.854
1987-10-01,392.107
1988-01-01,418.727
1988-04-01,439.471
1988-07-01,453.586
1988-10-01,466.619
1989-01-01,485.189
1989-04-01,507.229
1989-07-01,509.352
1989-10-01,515.387
1990-01-01,538.232
1990-04-01,545.925
1990-07-01,555.149
1990-10-01,568.186
1991-01-01,573.177
1991-04-01,590.733
1991-07-01,600.595
1991-10-01,615.217
1992-01-01,625.287
1992-04-01,626.163
1992-07-01,639.365
1992-10-01,641.396
1993-01-01,643.606
1993-04-01,653.094
1993-07-01,650.897
1993-10-01,671.6
1994-01-01,681.232
1994-04-01,706.988
1994-07-01,736.883
1994-10-01,758.646
1995-01-01,781.57
1995-04-01,798.851
1995-07-01,831.399
1995-10-01,839.421
1996-01-01,847.94
1996-04-01,859.042
1996-07-01,859.577
1996-10-01,903.798
1997-01-01,918.374
1997-04-01,954.45
1997-07-01,974.057
1997-10-01,968.33
1998-01-01,963.021
1998-04-01,947.295
1998-07-01,935.263
1998-10-01,966.337
1999-01-01,960.764
1999-04-01,974.597
1999-07-01,1005.309
1999-10-01,1030.971
2000-01-01,1052.904
2000-04-01,1093.36
2000-07-01,1125.002
2000-10-01,1113.177
2001-01-01,1096.812
2001-04-01,1058.013
2001-07-01,998.902
2001-10-01,953.52
2002-01-01,969.157
2002-04-01,1004.154
2002-07-01,1015.56
2002-10-01,1003.046
2003-01-01,1004.201
2003-04-01,1007.465
2003-07-01,1037.31
2003-10-01,1091.682
2004-01-01,1133.669
2004-04-01,1170.152
2004-07-01,1180.185
2004-10-01,1221.444
2005-01-01,1258.408
2005-04-01,1294.853
2005-07-01,1302.315
2005-10-01,1350.743
2006-01-01,1413.966
2006-04-01,1459.767
2006-07-01,1475.417
2006-10-01,1531.531
2007-01-01,1577.991
2007-04-01,1622.764
2007-07-01,1685.71
2007-10-01,1750.714
2008-01-01,1813.321
2008-04-01,1905.282
2008-07-01,1922.215
2008-10-01,1700.304
2009-01-01,1511.768
2009-04-01,1521.093
2009-07-01,1594.725
2009-10-01,1703.508
2010-01-01,1759.877
2010-04-01,1819.741
2010-07-01,1877.253
2010-10-01,1972.116
2011-01-01,2040.407
2011-04-01,2116.132
2011-07-01,2156.793
2011-10-01,2150.123
2012-01-01,2189.981
2012-04-01,2215.586
2012-07-01,2227.734
2012-10-01,2237.498
2013-01-01,2255.929
2013-04-01,2261.403
2013-07-01,2285.116
2013-10-01,2349.24
2014-01-01,2343.602
2014-04-01,2395.168
2014-07-01,2399.191
2014-10-01,2376.218
2015-01-01,2299.045
2015-04-01,2300.441
2015-07-01,2260.724
2015-10-01,2222.279
2016-01-01,2181.957
2016-04-01,2221.936
2016-07-01,2270.0
2016-10-01,2268.339
2017-01-01,2339.728
2017-04-01,2349.681
2017-07-01,2384.524
2017-10-01,2479.107
2018-01-01,2517.268
2018-04-01,2562.172
2018-07-01,2535.501
2018-10-01,2537.415
2019-01-01,2544.106
2019-04-01,2545.358
2019-07-01,2532.395
2019-10-01,2531.943
2020-01-01,2416.101
2020-04-01,1811.351
2020-07-01,2106.577
2020-10-01,2266.421
2021-01-01,2382.789
2021-04-01,2498.27
2021-07-01,2565.968
2021-10-01,2753.126
2022-01-01,2837.615
2022-04-01,3044.272
2022-07-01,3084.498
2022-10-01,3013.8
2023-01-01,3064.804
2023-04-01,2961.759
2023-07-01,3030.751
2023-10-01,3054.04
