DATE,IMPGS
1987-07-01,517.318
1987-10-01,537.511
1988-01-01,542.714
1988-04-01,546.098
1988-07-01,552.849
1988-10-01,574.314
1989-01-01,586.154
1989-04-01,595.389
1989-07-01,584.427
1989-10-01,598.152
1990-01-01,626.767
1990-04-01,614.759
1990-07-01,630.102
1990-10-01,647.282
1991-01-01,620.317
1991-04-01,613.921
1991-07-01,621.669
1991-10-01,638.27
1992-01-01,645.823
1992-04-01,658.951
1992-07-01,677.853
1992-10-01,688.536
1993-01-01,699.31
1993-04-01,716.281
1993-07-01,719.251
1993-10-01,745.049
1994-01-01,761.827
1994-04-01,797.56
1994-07-01,833.751
1994-10-01,860.559
1995-01-01,886.899
1995-04-01,908.343
1995-07-01,905.843
1995-10-01,909.201
1996-01-01,936.735
1996-04-01,952.751
1996-07-01,973.757
1996-10-01,992.62
1997-01-01,1027.213
1997-04-01,1039.651
1997-07-01,1070.888
1997-10-01,1085.344
1998-01-01,1098.236
1998-04-01,1109.626
1998-07-01,1109.897
1998-10-01,1145.0
1999-01-01,1173.324
1999-04-01,1222.126
1999-07-01,1281.712
1999-10-01,1332.679
2000-01-01,1409.487
2000-04-01,1455.86
2000-07-01,1518.869
2000-10-01,1524.52
2001-01-01,1499.464
2001-04-01,1422.028
2001-07-01,1369.536
2001-10-01,1323.208
2002-01-01,1356.041
2002-04-01,1432.413
2002-07-01,1463.107
2002-10-01,1499.335
2003-01-01,1529.463
2003-04-01,1527.336
2003-07-01,1556.304
2003-10-01,1615.376
2004-01-01,1699.644
2004-04-01,1787.734
2004-07-01,1832.856
2004-10-01,1921.78
2005-01-01,1955.063
2005-04-01,2002.063
2005-07-01,2053.275
2005-10-01,2155.529
2006-01-01,2204.784
2006-04-01,2253.809
2006-07-01,2298.702
2006-10-01,2269.198
2007-01-01,2317.264
2007-04-01,2368.569
2007-07-01,2414.664
2007-10-01,2480.413
2008-01-01,2584.568
2008-04-01,2681.686
2008-07-01,2709.569
2008-10-01,2328.779
2009-01-01,1932.761
2009-04-01,1879.461
2009-07-01,2018.722
2009-10-01,2176.763
2010-01-01,2269.069
2010-04-01,2362.255
2010-07-01,2431.195
2010-10-01,2495.702
2011-01-01,2608.884
2011-04-01,2697.224
2011-07-01,2723.903
2011-10-01,2751.911
2012-01-01,2792.253
2012-04-01,2780.827
2012-07-01,2750.817
2012-10-01,2753.373
2013-01-01,2755.277
2013-04-01,2759.783
2013-07-01,2767.183
2013-10-01,2783.259
2014-01-01,2853.69
2014-04-01,2900.572
2014-07-01,2888.549
2014-10-01,2906.969
2015-01-01,2825.476
2015-04-01,2809.968
2015-07-01,2798.806
2015-10-01,2745.517
2016-01-01,2693.639
2016-04-01,2711.306
2016-07-01,2751.229
2016-10-01,2799.145
2017-01-01,2873.148
2017-04-01,2903.18
2017-07-01,2916.022
2017-10-01,3034.004
2018-01-01,3093.299
2018-04-01,3105.995
2018-07-01,3153.747
2018-10-01,3171.622
2019-01-01,3142.693
2019-04-01,3160.379
2019-07-01,3116.653
2019-10-01,3048.089
2020-01-01,2934.121
2020-04-01,2342.488
2020-07-01,2802.324
2020-10-01,3027.081
2021-01-01,3175.205
2021-04-01,3330.241
2021-07-01,3450.245
2021-10-01,3677.415
2022-01-01,3927.291
2022-04-01,4069.839
2022-07-01,3976.524
2022-10-01,3891.004
2023-01-01,3890.491
2023-04-01,3767.851
2023-07-01,3809.982
2023-10-01,3835.099
