DATE,INDPRO
1987-08-01,58.6889
1987-09-01,58.9137
1987-10-01,59.7083
1987-11-01,60.0022
1987-12-01,60.3336
1988-01-01,60.3186
1988-02-01,60.6209
1988-03-01,60.7591
1988-04-01,61.1144
1988-05-01,60.9952
1988-06-01,61.1697
1988-07-01,61.1749
1988-08-01,61.4851
1988-09-01,61.2844
1988-10-01,61.5595
1988-11-01,61.7128
1988-12-01,61.9983
1989-01-01,62.1789
1989-02-01,61.9074
1989-03-01,62.0592
1989-04-01,62.0424
1989-05-01,61.6948
1989-06-01,61.6915
1989-07-01,61.0978
1989-08-01,61.6949
1989-09-01,61.4839
1989-10-01,61.4105
1989-11-01,61.6172
1989-12-01,61.9635
1990-01-01,61.6440
1990-02-01,62.2108
1990-03-01,62.5068
1990-04-01,62.3597
1990-05-01,62.5474
1990-06-01,62.7541
1990-07-01,62.6497
1990-08-01,62.8761
1990-09-01,62.8960
1990-10-01,62.5060
1990-11-01,61.7271
1990-12-01,61.2939
1991-01-01,61.0931
1991-02-01,60.6522
1991-03-01,60.3069
1991-04-01,60.4658
1991-05-01,61.0671
1991-06-01,61.5611
1991-07-01,61.7230
1991-08-01,61.7360
1991-09-01,62.2464
1991-10-01,62.1825
1991-11-01,62.0983
1991-12-01,61.8108
1992-01-01,61.4898
1992-02-01,61.9299
1992-03-01,62.4490
1992-04-01,62.9312
1992-05-01,63.1359
1992-06-01,63.1736
1992-07-01,63.7408
1992-08-01,63.3917
1992-09-01,63.5927
1992-10-01,64.0282
1992-11-01,64.2732
1992-12-01,64.3668
1993-01-01,64.6256
1993-02-01,64.9290
1993-03-01,64.8720
1993-04-01,65.0611
1993-05-01,64.8104
1993-06-01,64.9553
1993-07-01,65.1198
1993-08-01,65.0494
1993-09-01,65.3882
1993-10-01,65.8702
1993-11-01,66.1779
1993-12-01,66.5602
1994-01-01,66.7722
1994-02-01,66.8068
1994-03-01,67.4832
1994-04-01,67.8771
1994-05-01,68.1961
1994-06-01,68.6526
1994-07-01,68.7353
1994-08-01,69.1954
1994-09-01,69.4017
1994-10-01,69.9690
1994-11-01,70.4367
1994-12-01,71.1413
1995-01-01,71.2762
1995-02-01,71.1904
1995-03-01,71.2891
1995-04-01,71.1623
1995-05-01,71.5044
1995-06-01,71.7430
1995-07-01,71.4459
1995-08-01,72.3800
1995-09-01,72.6601
1995-10-01,72.5428
1995-11-01,72.7178
1995-12-01,72.9672
1996-01-01,72.5866
1996-02-01,73.6389
1996-03-01,73.5202
1996-04-01,74.2664
1996-05-01,74.8145
1996-06-01,75.3779
1996-07-01,75.3754
1996-08-01,75.7568
1996-09-01,76.2304
1996-10-01,76.2193
1996-11-01,76.8941
1996-12-01,77.3731
1997-01-01,77.5138
1997-02-01,78.4246
1997-03-01,78.9266
1997-04-01,78.9924
1997-05-01,79.4411
1997-06-01,79.8048
1997-07-01,80.4800
1997-08-01,81.2862
1997-09-01,82.0380
1997-10-01,82.7657
1997-11-01,83.4321
1997-12-01,83.7826
1998-01-01,84.1656
1998-02-01,84.3048
1998-03-01,84.3416
1998-04-01,84.6263
1998-05-01,85.1839
1998-06-01,84.6809
1998-07-01,84.3448
1998-08-01,86.0846
1998-09-01,85.9945
1998-10-01,86.5967
1998-11-01,86.5114
1998-12-01,86.8608
1999-01-01,87.2277
1999-02-01,87.7266
1999-03-01,87.9203
1999-04-01,88.1153
1999-05-01,88.6554
1999-06-01,88.5958
1999-07-01,89.1235
1999-08-01,89.5116
1999-09-01,89.1361
1999-10-01,90.2842
1999-11-01,90.7631
1999-12-01,91.4926
2000-01-01,91.4251
2000-02-01,91.7357
2000-03-01,92.0933
2000-04-01,92.6838
2000-05-01,92.9376
2000-06-01,93.0076
2000-07-01,92.8458
2000-08-01,92.5972
2000-09-01,92.9653
2000-10-01,92.6418
2000-11-01,92.6618
2000-12-01,92.3459
2001-01-01,91.8903
2001-02-01,91.2915
2001-03-01,91.0526
2001-04-01,90.7293
2001-05-01,90.2577
2001-06-01,89.7677
2001-07-01,89.2260
2001-08-01,89.1326
2001-09-01,88.6679
2001-10-01,88.3926
2001-11-01,87.8774
2001-12-01,87.8344
2002-01-01,88.4665
2002-02-01,88.4661
2002-03-01,89.1228
2002-04-01,89.5532
2002-05-01,89.9340
2002-06-01,90.6769
2002-07-01,90.6455
2002-08-01,90.5475
2002-09-01,90.6381
2002-10-01,90.4041
2002-11-01,90.8985
2002-12-01,90.3890
2003-01-01,91.1355
2003-02-01,91.2502
2003-03-01,91.0059
2003-04-01,90.4281
2003-05-01,90.4073
2003-06-01,90.5218
2003-07-01,90.9896
2003-08-01,90.7858
2003-09-01,91.3829
2003-10-01,91.5005
2003-11-01,92.1265
2003-12-01,92.1722
2004-01-01,92.3270
2004-02-01,92.8873
2004-03-01,92.5325
2004-04-01,92.9096
2004-05-01,93.5838
2004-06-01,92.8621
2004-07-01,93.5511
2004-08-01,93.6328
2004-09-01,93.7418
2004-10-01,94.5671
2004-11-01,94.8000
2004-12-01,95.5426
2005-01-01,95.8831
2005-02-01,96.5616
2005-03-01,96.4371
2005-04-01,96.6280
2005-05-01,96.7306
2005-06-01,97.1488
2005-07-01,96.8383
2005-08-01,97.1603
2005-09-01,95.2729
2005-10-01,96.4383
2005-11-01,97.4951
2005-12-01,97.9788
2006-01-01,98.1305
2006-02-01,98.1779
2006-03-01,98.3898
2006-04-01,98.6769
2006-05-01,98.7052
2006-06-01,99.0427
2006-07-01,98.9804
2006-08-01,99.4106
2006-09-01,99.2207
2006-10-01,99.1253
2006-11-01,99.0969
2006-12-01,100.1122
2007-01-01,99.7571
2007-02-01,100.7275
2007-03-01,100.9023
2007-04-01,101.5874
2007-05-01,101.6299
2007-06-01,101.6482
2007-07-01,101.4925
2007-08-01,101.6874
2007-09-01,101.9398
2007-10-01,101.6345
2007-11-01,102.2068
2007-12-01,102.2604
2008-01-01,102.1400
2008-02-01,101.7671
2008-03-01,101.4355
2008-04-01,100.7424
2008-05-01,100.1320
2008-06-01,99.8651
2008-07-01,99.4214
2008-08-01,97.8448
2008-09-01,93.5590
