DATE,DEXUSUK
1987-08-11,1.5697
1987-08-12,1.5790
1987-08-13,1.5797
1987-08-14,1.5890
1987-08-17,1.5908
1987-08-18,1.6170
1987-08-19,1.6150
1987-08-20,1.6220
1987-08-21,1.6290
1987-08-24,1.6300
1987-08-25,1.6182
1987-08-26,1.6165
1987-08-27,1.6290
1987-08-28,1.6325
1987-08-31,1.6328
1987-09-01,1.6401
1987-09-02,1.6497
1987-09-03,1.6570
1987-09-04,1.6538
1987-09-07,.
1987-09-08,1.6595
1987-09-09,1.6510
1987-09-10,1.6447
1987-09-11,1.6500
1987-09-14,1.6370
1987-09-15,1.6423
1987-09-16,1.6452
1987-09-17,1.6462
1987-09-18,1.6553
1987-09-21,1.6478
1987-09-22,1.6410
1987-09-23,1.6422
1987-09-24,1.6370
1987-09-25,1.6417
1987-09-28,1.6420
1987-09-29,1.6280
1987-09-30,1.6248
1987-10-01,1.6165
1987-10-02,1.6212
1987-10-05,1.6238
1987-10-06,1.6320
1987-10-07,1.6403
1987-10-08,1.6425
1987-10-09,1.6507
1987-10-12,.
1987-10-13,1.6470
1987-10-14,1.6530
1987-10-15,1.6640
1987-10-16,1.6645
1987-10-19,1.6800
1987-10-20,1.6545
1987-10-21,1.6515
1987-10-22,1.6495
1987-10-23,1.6750
1987-10-26,1.6880
1987-10-27,1.6965
1987-10-28,1.7100
1987-10-29,1.7190
1987-10-30,1.7215
1987-11-02,1.7390
1987-11-03,1.7400
1987-11-04,1.7482
1987-11-05,1.7830
1987-11-06,1.7825
1987-11-09,1.7930
1987-11-10,1.7865
1987-11-11,.
1987-11-12,1.7575
1987-11-13,1.7680
1987-11-16,1.7500
1987-11-17,1.7640
1987-11-18,1.7700
1987-11-19,1.7802
1987-11-20,1.7790
1987-11-23,1.7905
1987-11-24,1.7725
1987-11-25,1.7925
1987-11-26,.
1987-11-27,1.8105
1987-11-30,1.8256
1987-12-01,1.8180
1987-12-02,1.8120
1987-12-03,1.8065
1987-12-04,1.7980
1987-12-07,1.7940
1987-12-08,1.7962
1987-12-09,1.8020
1987-12-10,1.8300
1987-12-11,1.8380
1987-12-14,1.8370
1987-12-15,1.8315
1987-12-16,1.8315
1987-12-17,1.8355
1987-12-18,1.8258
1987-12-21,1.8270
