DATE,DEXJPUS
1987-08-11,151.77
1987-08-12,151.25
1987-08-13,151.45
1987-08-14,150.00
1987-08-17,149.92
1987-08-18,146.07
1987-08-19,145.10
1987-08-20,144.15
1987-08-21,142.75
1987-08-24,142.00
1987-08-25,143.22
1987-08-26,143.05
1987-08-27,142.05
1987-08-28,142.00
1987-08-31,141.75
1987-09-01,141.83
1987-09-02,141.03
1987-09-03,141.03
1987-09-04,141.75
1987-09-07,.
1987-09-08,141.75
1987-09-09,141.60
1987-09-10,142.57
1987-09-11,142.80
1987-09-14,144.50
1987-09-15,144.05
1987-09-16,144.36
1987-09-17,143.40
1987-09-18,142.67
1987-09-21,143.55
1987-09-22,144.15
1987-09-23,143.90
1987-09-24,143.73
1987-09-25,143.67
1987-09-28,144.07
1987-09-29,146.20
1987-09-30,146.50
1987-10-01,146.90
1987-10-02,146.40
1987-10-05,146.85
1987-10-06,146.71
1987-10-07,145.65
1987-10-08,144.89
1987-10-09,143.85
1987-10-12,.
1987-10-13,143.75
1987-10-14,142.75
1987-10-15,142.15
1987-10-16,142.75
1987-10-19,141.83
1987-10-20,143.90
1987-10-21,144.20
1987-10-22,144.68
1987-10-23,142.85
1987-10-26,142.20
1987-10-27,141.58
1987-10-28,139.18
1987-10-29,138.25
1987-10-30,138.40
1987-11-02,137.00
1987-11-03,137.38
1987-11-04,137.28
1987-11-05,134.70
1987-11-06,135.40
1987-11-09,134.30
1987-11-10,134.55
1987-11-11,.
1987-11-12,136.45
1987-11-13,135.85
1987-11-16,136.60
1987-11-17,135.72
1987-11-18,135.55
1987-11-19,135.15
1987-11-20,135.45
1987-11-23,134.73
1987-11-24,135.52
1987-11-25,134.80
1987-11-26,.
1987-11-27,133.70
1987-11-30,132.42
1987-12-01,133.00
1987-12-02,132.70
1987-12-03,132.90
1987-12-04,132.85
1987-12-07,132.80
1987-12-08,132.72
1987-12-09,132.40
1987-12-10,129.40
1987-12-11,128.50
1987-12-14,128.02
1987-12-15,127.60
1987-12-16,127.28
1987-12-17,126.25
1987-12-18,127.10
1987-12-21,127.08
1987-12-22,126.55
1987-12-23,126.75
1987-12-24,126.12
1987-12-25,.
1987-12-28,123.15
1987-12-29,123.50
1987-12-30,123.40
1987-12-31,121.25
1988-01-01,.
1988-01-04,122.70
1988-01-05,126.90
1988-01-06,129.65
1988-01-07,128.58
1988-01-08,129.15
1988-01-11,128.20
1988-01-12,127.38
1988-01-13,126.65
1988-01-14,126.73
1988-01-15,130.50
1988-01-18,.
1988-01-19,128.60
1988-01-20,127.75
1988-01-21,127.20
1988-01-22,127.85
1988-01-25,127.78
1988-01-26,127.88
1988-01-27,127.60
1988-01-28,127.17
1988-01-29,127.75
1988-02-01,129.38
1988-02-02,128.28
1988-02-03,127.90
1988-02-04,128.50
1988-02-05,129.05
1988-02-08,128.60
1988-02-09,129.18
1988-02-10,129.02
